name,description,category,badge,featured,github_url,website,tags,readme_url
21st.dev Magic,Create crafted UI components inspired by the best 21st.dev design engineers.,Unknown,official,no,https://github.com/21st-dev/magic-mcp,/,,
2slides,"This is the 1st, easiest, and cheapest PPT, slides, presentation AI generation MCP Server in the world.",Unknown,official,no,https://github.com/2slides/2slides-mcp,/,,
Adfin,"The only platform you need to get paid - all payments in one place, invoicing and accounting reconciliations with Adfin.",Unknown,official,no,https://github.com/Adfin-Engineering/mcp-server-adfin,/,,
Agent Evals by Galileo,"Bring agent evaluations, observability, and synthetic test set generation directly into your IDE for free with Galileo's new MCP server",Unknown,official,no,,/,,
AgentQL,Enable AI agents to get structured data from unstructured web with AgentQL.,Unknown,official,no,https://github.com/tinyfish-io/agentql-mcp,/,,
AgentRPC,"Connect to any function, any language, across network boundaries using AgentRPC.",Unknown,official,no,https://github.com/agentrpc/agentrpc,/,,
Aiven,"Navigate your Aiven projects and interact with the PostgreSQL®, Apache Kafka®, ClickHouse® and OpenSearch® services",Unknown,official,no,https://github.com/Aiven-Open/mcp-aiven,/,,
ALAPI,"ALAPI MCP Tools,Call hundreds of API interfaces via MCP",Unknown,official,no,https://github.com/ALAPI-SDK/mcp-alapi-cn,/,,
AlibabaCloud DevOps MCP,Yunxiao MCP Server provides AI assistants with the ability to interact with the Yunxiao platform.,Unknown,official,no,https://github.com/aliyun/alibabacloud-devops-mcp-server,/,,
AllVoiceLab,"An AI voice toolkit with TTS, voice cloning, and video translation, now available as an MCP server for smarter agent integration.",Unknown,official,no,,/,,
Allyson,AI-powered SVG animation generator that transforms static files into animated SVG components using the Allyson platform,Unknown,official,no,https://github.com/isaiahbjork/allyson-mcp,/,,
Alpha Vantage MCP Server,Enables AI agents and applications to access real-time and 20+ years historical financial market data through natural language queries.,Unknown,sponsor,no,,https://mcp.alphavantage.co/,,
AltTester® AI Extension,MCP server for game test automation,Unknown,official,no,,/,,
